[2016-06-09 00:14:42,677][INFO ][node                     ] [Fantasia] stopping ...
[2016-06-09 00:14:42,776][INFO ][node                     ] [Fantasia] stopped
[2016-06-09 00:14:42,777][INFO ][node                     ] [Fantasia] closing ...
[2016-06-09 00:14:42,782][INFO ][node                     ] [Fantasia] closed
[2016-06-09 11:05:00,655][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
[2016-06-09 11:05:00,871][INFO ][node                     ] [Negasonic Teenage Warhead] version[2.3.3], pid[7240], build[218bdf1/2016-05-17T15:40:04Z]
[2016-06-09 11:05:00,873][INFO ][node                     ] [Negasonic Teenage Warhead] initializing ...
[2016-06-09 11:05:01,357][INFO ][plugins                  ] [Negasonic Teenage Warhead] modules [reindex, lang-expression, lang-groovy], plugins [], sites []
[2016-06-09 11:05:01,378][INFO ][env                      ] [Negasonic Teenage Warhead] using [1] data paths, mounts [[Boot (c:)]], net usable_space [1.5tb], net total_space [1.7tb], spins? [unknown], types [NTFS]
[2016-06-09 11:05:01,380][INFO ][env                      ] [Negasonic Teenage Warhead] heap size [989.8mb], compressed ordinary object pointers [unknown]
[2016-06-09 11:05:03,737][INFO ][node                     ] [Negasonic Teenage Warhead] initialized
[2016-06-09 11:05:03,738][INFO ][node                     ] [Negasonic Teenage Warhead] starting ...
[2016-06-09 11:05:04,062][INFO ][transport                ] [Negasonic Teenage Warhead] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-06-09 11:05:04,099][INFO ][discovery                ] [Negasonic Teenage Warhead] elasticsearch/jvwW-bqNRc2E2rabVBGuFw
[2016-06-09 11:05:08,136][INFO ][cluster.service          ] [Negasonic Teenage Warhead] new_master {Negasonic Teenage Warhead}{jvwW-bqNRc2E2rabVBGuFw}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-06-09 11:05:08,395][INFO ][http                     ] [Negasonic Teenage Warhead] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-06-09 11:05:08,397][INFO ][node                     ] [Negasonic Teenage Warhead] started
[2016-06-09 11:05:08,574][INFO ][gateway                  ] [Negasonic Teenage Warhead] recovered [6] indices into cluster_state
