id;autor;text;summary;theme;reference;time;id1;type1;id2;type2;idext1;typeext1
1;André Comte-Sponville;"Ce n’est pas l’athéisme. Ce n’est pas l’irréligion. Encore moins une religion de plus. La laïcité ne porte pas sur Dieu, mais sur la société. Ce n’est pas une conception du monde. c’est une organisation de la Cité. Ce n’est pas une croyance ; c’est un principe, ou plusieurs :  la neutralité de l’État vis?à-vis de toute religion comme de toute métaphysique, son indépendance par rapport aux Églises comme l’indépendance des Églises par rapport à lui, la liberté de conscience et de culte, d’examen et de critique, l’absence de toute religion officielle, de toute philosophie officielle, le droit en conséquence, pour chaque individu, de pratiquer la religion de son choix ou de n’en pratiquer aucune, le droit de prier ou de blasphémer, tant que cela ne trouble pas l’ordre public, enfin, mais ce n’est pas le moins important, l’aspect non confessionnel et non clérical – mais point non plus anticlérical – de l’école publique. L’essentiel tient en trois mots : neutralité (de l’État et de l’école),indépendance (de l’État vis?à-vis des Églises, et réciproquement),liberté (de conscience et de culte). [...] Ce n’est pas le contraire de la religion. C’est le contraire, indissociablement, du cléricalisme (qui voudrait soumettre l’État à l’Église) et du totalitarisme (qui voudrait soumettre les Églises à l’État).";La laïcité n'est pas l'athéisme, l'irreligion ou une religion mais une organisation de la cité, un principe qui se résume en trois mots : neutralité de l’État et de l’école,indépendance de l’État vis?à-vis des Églises, et réciproquement,liberté de conscience et de culte - et qui est également l'inverse du clericalisme et du totalitarisme.;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8199;text;;;;;;
2;André Comte-Sponville;Il ne voulait pas que l’État régente l’Église, ni que l’Église régente l’État. Il avait évidemment raison, même de son propre point de vue : il rendait « à César ce qui est à César, et à Dieu ce qui est à Dieu » (Mt 22, 21). ;Mgr Lustiger ne voulait pas que l’État régente l’Église, ni que l’Église régente l’État;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8199;text;;;;;;
3;André Comte-Sponville;C’est en ce sens que Mgr Lustiger pouvait se dire laïque, et je lui en donne bien volontiers acte.;Mgr Lustiger pouvait se dire Laïque;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8199;text;1;CON;2;CON;;
4;André Comte-Sponville;Les athées auraient tort de faire la fine bouche. ;Les athées ne devraient pas se montrer dédeigneux vis-à-vis la conversion laïque de l'Eglise ;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8199;text;4;CON;;;;
5;André Comte-Sponville;Que l’Église catholique ait mis tant de temps pour accepter la laïcité, cela ne rend sa conversion, si l’on peut dire, que plus spectaculaire. ;L'effort imporant qu'a réalisé l'Eglise pour devenir laïque rend sa conversion spectaculaire;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8199;text;;;;;;
6;André Comte-Sponville;Mais cette victoire, pour les laïques, n’est pas pour autant une défaite de l’Église : c’est la victoire commune des esprits libres et tolérants. ;La laïcisation de l'Eglise n'est pas sa défaite mais une victoire des esprits libres et tolérants;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8199;text;;;;;;
7;André Comte-Sponville;La laïcité nous permet de vivre ensemble, malgré nos différences d’opinions et de croyances. ;La laïcité nous permet de vivre ensemble malgré nos différences d’opinions et de croyances;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8200;text;;;;;;
8;André Comte-Sponville;C’est pourquoi elle est bonne, juste, nécessaire. ;La laïcité est bonne, juste, nécessaire;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8201;text;7;CON;;;;
9;André Comte-Sponville;On comprend qu’Israël, l’Iran ou le Vatican ne sont pas des États laïques, ;l’Iran ou le Vatican ne sont pas des États laïques;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8202;text;10;CON;1;CON;;
10;André Comte-Sponville;puisqu’ils se réclament d’une religion officielle ou privilégiée. ;Israël, l'Iran ou le Vatican se réclament d'une religion officielle ou privilégiée;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8203;text;;;;;;
